customer_id,recency,frequency,monetary,country
12446,316,58,1002.3100000000001,RSA
12447,130,26,476.49,Belgium
12448,329,22,449.45,Spain
12449,351,191,4067.29,Belgium
12450,217,8,197.88,Spain
12451,363,354,9035.52,Switzerland
12452,357,22,430.57,Switzerland
12453,239,43,707.09,Austria
12454,317,15,3528.34,Spain
12455,300,90,2466.86,Cyprus
12456,329,125,3181.04,Switzerland
12457,307,63,2363.23,Switzerland
12458,302,38,947.4,Switzerland
12461,279,35,826.88,Switzerland
12462,355,62,1189.59,Spain
12463,320,83,1344.78,Belgium
12464,363,29,1212.05,Belgium
12465,356,47,742.1899999999999,Belgium
12468,186,38,729.5400000000001,Germany
12471,371,459,19788.65,Germany
12472,341,339,6572.11,Germany
12473,344,167,3928.0499999999997,Germany
12474,356,422,7324.09,Germany
12475,320,36,723.38,Germany
12476,358,233,6816.42,Germany
12477,351,300,13219.74,Germany
12478,370,36,680.99,Greece
12479,362,31,527.2,Germany
12480,345,154,3281.63,Germany
12481,351,216,5579.82,Germany
12483,356,75,2484.98,Sweden
12484,341,343,4527.32,Spain
12488,364,55,1298.66,France
12489,37,15,334.93,France
12490,368,245,5417.93,France
12491,335,26,460.40000000000003,France
12492,310,20,263.21000000000004,Germany
12493,208,22,433.74,France
12494,358,77,1246.1000000000001,France
12497,292,14,1043.1,Germany
12498,352,23,403.70000000000005,Germany
12500,350,61,4257.82,Germany
12501,37,149,2169.39,Germany
12502,278,147,3723.87,Spain
12504,355,9,482.04999999999995,Germany
12506,141,23,73.5,France
12507,239,22,1304.81,Spain
12508,347,68,397.88,France
12509,89,7,176.5,France
12510,231,33,982.5699999999999,Spain
12512,307,31,132.18,Israel
12513,261,35,612.29,France
12514,106,51,1017.68,Italy
12515,20,16,383.7,Italy
12516,296,26,1312.06,Germany
12517,345,279,2481.6,Germany
12518,373,124,2056.89,Germany
12519,310,17,330.84,Germany
12520,294,152,2634.26,Germany
12521,231,38,599.68,Germany
12522,334,12,192.72,Germany
12523,354,106,1789.77,France
12524,364,144,4485.72,Germany
12526,373,71,1316.66,Germany
12527,292,18,348.71000000000004,Germany
12528,364,92,1933.48,Germany
12530,314,66,1662.28,Germany
12531,359,17,125.22,Germany
12532,343,16,349.83000000000004,France
12534,243,63,1089.18,Germany
12535,282,34,716.35,France
12536,330,261,12601.830000000002,France
12538,344,21,363.95,Spain
12539,351,273,5568.35,Spain
12540,354,478,13400.24,Spain
12541,344,52,981.18,Spain
12544,337,19,372.7,Spain
12545,298,50,1000.39,Spain
12546,327,69,1161.5,Spain
12547,176,8,207.79999999999998,Spain
12548,207,5,95.19999999999999,Spain
12550,294,57,964.83,Spain
12551,16,10,168.0,Spain
12552,335,20,437.82,Italy
12553,365,191,3692.28,France
12556,323,119,599.56,Spain
12557,357,33,11990.960000000001,Spain
12558,366,11,269.96,USA
12559,63,21,561.71,Germany
12560,368,105,2134.01,Germany
12561,71,16,238.85,Germany
12562,365,168,3781.7400000000002,France
12564,112,21,456.9,France
12565,85,9,145.92,Saudi Arabia
12566,287,19,351.65,Germany
12567,351,446,9401.28,France
12569,371,188,4124.69,Germany
12571,334,34,519.61,France
12572,365,60,1020.42,Germany
12573,146,28,160.54000000000002,France
12574,58,11,218.45,France
12576,338,88,1315.83,Poland
12577,338,146,626.6,France
12578,352,114,2794.51,Italy
12579,295,29,440.42,France
12580,127,24,415.7,Germany
12581,334,15,197.71,Germany
12582,135,22,511.36,Finland
12583,371,247,7281.38,France
12584,370,96,2338.15,Italy
12585,139,87,2040.1,Germany
12586,356,11,196.94000000000003,Italy
12587,366,4,144.0,Finland
12588,334,10,214.89999999999998,Finland
12589,345,35,646.68,France
12590,162,68,9864.26,Germany
12591,56,26,452.84999999999997,Italy
12592,281,18,437.6,Germany
12593,265,21,418.09999999999997,France
12594,336,118,3338.2200000000003,Italy
12596,322,27,618.27,Spain
12597,354,206,3811.22,Spain
12598,364,132,3023.08,France
12599,344,62,1032.58,France
12600,345,64,2599.04,Germany
12601,184,28,577.0600000000001,Germany
12602,315,12,153.12,France
12603,352,3,739.1999999999999,Germany
12604,294,16,254.18,France
12607,313,101,1579.51,USA
12609,295,60,1126.85,Germany
12610,351,106,2099.54,Italy
12611,321,65,1193.32,Italy
12612,299,19,704.0400000000001,Germany
12613,316,153,3344.38,Germany
12614,96,20,315.6,Germany
12615,371,105,2291.19,France
12616,278,32,713.3,France
12617,344,41,352.98,France
12618,352,11,177.31,Italy
12619,357,90,3641.24,Germany
12620,359,92,1339.41,France
12621,372,467,13689.67,Germany
12622,141,11,180.1,Germany
12623,97,18,305.1,Germany
12624,267,38,641.13,France
12625,162,86,2683.82,Germany
12626,350,294,6620.48,Germany
12627,363,230,4478.53,Germany
12628,369,41,786.46,Germany
12630,364,64,1270.88,Finland
12631,316,31,640.5,Finland
12633,315,101,2163.98,Germany
12635,284,101,1689.18,Germany
12637,306,382,6002.9,France
12638,340,39,671.69,Sweden
12639,135,22,486.1,Sweden
12640,350,53,1174.58,France
12641,258,10,185.9,Sweden
12642,348,47,1013.26,Germany
12643,245,24,3344.64,France
12644,244,31,477.91,Germany
12645,340,73,1775.18,Germany
12646,369,45,1346.97,USA
12647,351,122,3722.82,Germany
12648,219,21,318.05,Germany
12649,266,31,623.51,Germany
12650,370,20,314.44,France
12651,39,9,114.0,France
12652,42,48,919.98,France
12653,225,43,2209.85,Israel
12654,363,38,601.98,Germany
12656,356,126,4051.17,France
12657,362,47,1643.18,France
12658,355,36,686.05,Germany
12659,344,5,91.68,France
12660,362,13,245.1,France
12662,373,230,3849.78,Germany
12664,365,37,4881.88,Finland
12665,49,3,63.0,Germany
12667,315,33,620.13,Finland
12668,362,161,3807.15,Germany
12669,223,101,2744.0299999999997,France
12670,363,92,2996.05,France
12672,44,10,225.89999999999998,France
12673,368,42,610.52,Germany
12674,335,83,1970.6,France
12676,349,45,1331.39,Sweden
12678,331,165,17628.46,France
12679,315,48,1113.02,France
12680,373,53,880.81,France
12681,359,638,13787.54,France
12682,370,524,12279.82,France
12683,369,344,8476.57,France
12684,366,105,2283.63,France
12685,345,157,2863.08,France
12686,2,7,89.14,France
12688,260,171,4873.8099999999995,Israel
12689,348,72,1247.61,France
12690,168,16,389.01,France
12691,345,32,1035.8,France
12693,246,39,855.91,Germany
12694,303,37,869.67,France
12695,366,27,582.1,France
12697,345,41,957.59,Sweden
12700,366,268,4939.99,France
12701,294,53,797.71,Germany
12702,354,12,219.0,Germany
12703,302,21,283.55,Germany
12704,366,88,2340.84,Finland
12705,358,334,6868.29,Germany
12707,82,33,603.42,France
12708,344,157,2712.91,Germany
12709,358,207,9706.52,Germany
12710,277,77,1149.02,Germany
12712,345,133,4396.13,Germany
12713,373,38,848.55,Germany
12714,364,259,4708.86,France
12715,267,20,343.36,Sweden
12716,370,69,1053.49,France
12717,222,55,1030.98,Greece
12718,302,19,238.25,France
12719,368,39,644.95,France
12720,371,354,5781.73,Germany
12721,342,161,2656.13,France
12722,288,53,997.63,France
12723,370,69,725.07,France
12724,368,53,1031.41,France
12725,2,24,427.8,Italy
12726,345,124,2609.1,France
12727,363,139,3980.7,France
12728,302,46,836.33,France
12729,260,26,453.01,France
12731,350,274,18895.91,France
12732,194,12,236.26000000000002,France
12733,139,22,383.95,USA
12734,21,4,110.39999999999999,France
12735,58,43,779.5699999999999,France
12736,41,4,234.0,France
12738,1,11,155.35,Germany
12739,295,38,1013.04,United Arab Emirates
12740,310,27,427.6,France
12743,239,131,540.13,Unspecified
12744,322,222,21279.29,Singapore
12747,371,103,4196.01,United Kingdom
12748,373,4413,33053.19,United Kingdom
12749,370,199,4090.88,United Kingdom
12750,245,15,275.88,Poland
12752,292,53,4366.78,Norway
12753,351,197,21429.39,Japan
12754,138,63,3010.74,Japan
12755,93,4,3811.95,Japan
12756,287,4,112.07999999999998,Japan
12757,358,364,7834.650000000001,Portugal
12758,257,97,2791.59,Portugal
12759,321,95,1531.44,Netherlands
12762,366,69,1898.52,Portugal
12763,235,18,494.08,Japan
12764,57,45,1693.88,Lebanon
12766,370,310,6989.63,Portugal
12769,135,32,1143.6,Brazil
12770,163,12,1351.45,Japan
12772,314,55,892.47,Portugal
12775,356,66,1386.04,Netherlands
12778,354,50,822.23,Netherlands
12779,336,149,3981.36,Poland
12781,310,25,826.74,Czech Republic
12782,369,103,2330.92,Portugal
12783,371,84,2225.91,Portugal
12784,364,57,532.8199999999999,Portugal
12785,9,14,311.95,Portugal
12787,364,20,463.66,Netherlands
12789,308,4,91.85,Netherlands
12790,181,21,324.92,Netherlands
12791,0,2,192.60000000000002,Netherlands
12792,117,25,400.53999999999996,Portugal
12793,39,24,545.48,Portugal
12794,320,45,860.41,Portugal
12795,355,14,430.48,Portugal
12797,8,13,254.03,Portugal
12798,363,8,6977.04,Japan
12802,187,25,427.58,Netherlands
12808,337,28,483.65000000000003,Portugal
12809,196,25,489.31,Portugal
12811,113,31,514.85,Portugal
12812,329,15,229.64000000000001,Japan
12814,272,2,125.92,Poland
12815,226,47,1063.46,Poland
12816,278,29,572.2,Poland
12817,92,4,166.04,Austria
12818,112,14,1542.08,Austria
12820,370,59,942.34,United Kingdom
12821,159,6,92.72,United Kingdom
12822,303,46,948.88,United Kingdom
12823,299,5,1759.5,United Kingdom
12824,314,25,397.12,United Kingdom
12826,371,91,1474.72,United Kingdom
12827,368,25,430.15000000000003,United Kingdom
12828,371,56,1018.71,United Kingdom
12829,37,11,293.0,United Kingdom
12830,336,38,6814.64,United Kingdom
12831,111,9,215.05,United Kingdom
12832,341,27,383.03,United Kingdom
12833,228,24,417.38,United Kingdom
12834,91,18,312.38,United Kingdom
12836,314,174,2610.36,United Kingdom
12837,200,12,134.1,United Kingdom
12838,340,120,671.95,United Kingdom
12839,371,314,5591.42,United Kingdom
12840,230,113,2726.77,United Kingdom
12841,369,414,3991.58,United Kingdom
12842,303,34,1118.99,United Kingdom
12843,308,103,1702.26,United Kingdom
12844,344,52,325.96000000000004,United Kingdom
12845,106,27,354.09,United Kingdom
12847,351,84,843.64,United Kingdom
12849,342,48,1010.29,United Kingdom
12851,277,47,131.81,United Kingdom
12852,79,17,311.55,United Kingdom
12853,239,78,1957.1000000000001,United Kingdom
12854,295,109,1316.25,United Kingdom
12855,1,3,38.1,United Kingdom
12856,366,311,2170.78,United Kingdom
12857,163,46,1106.4,United Kingdom
12863,321,5,521.2,United Kingdom
12864,235,3,147.12,United Kingdom
12865,347,95,1568.23,Austria
12866,90,26,559.12,Belgium
12867,347,534,4009.34,United Kingdom
12868,188,107,1607.0600000000002,United Kingdom
12871,289,11,380.64,United Kingdom
12872,47,66,599.97,United Kingdom
12873,91,4,374.0,United Kingdom
12875,230,2,343.2300000000001,United Kingdom
12876,316,85,2218.02,Belgium
12877,370,154,1535.77,United Kingdom
12878,137,47,854.99,United Kingdom
12879,329,10,573.22,United Kingdom
12881,98,7,298.0,United Kingdom
12882,364,13,1463.04,United Kingdom
12883,349,42,703.47,United Kingdom
12884,285,7,309.05,United Kingdom
12885,310,71,1175.22,United Kingdom
12886,306,82,1378.4,United Kingdom
12888,159,5,354.12,United Kingdom
12890,349,79,376.71999999999997,United Kingdom
12891,188,3,331.0,United Kingdom
12893,343,31,176.55,United Kingdom
12895,331,22,372.8,United Kingdom
12897,169,4,216.5,United Kingdom
12901,365,116,17654.54,United Kingdom
12902,109,10,138.68,United Kingdom
12904,355,71,496.06,United Kingdom
12906,362,63,2919.81,United Kingdom
12908,197,2,750.0,United Kingdom
12909,334,91,2178.67,United Kingdom
12910,350,75,3075.04,United Kingdom
12912,371,24,1662.3,United Kingdom
12913,369,50,2483.63,United Kingdom
12915,225,22,363.65,United Kingdom
12916,235,103,2944.95,United Kingdom
12917,245,2,594.0,United Kingdom
12919,365,50,1335.19,United Kingdom
12920,356,27,162.78,United Kingdom
12921,364,720,16587.09,United Kingdom
12922,212,28,405.38,United Kingdom
12923,309,28,172.82,United Kingdom
12924,285,30,933.7,United Kingdom
12925,369,45,694.05,United Kingdom
12928,338,84,2062.7000000000003,United Kingdom
12929,62,8,117.85,United Kingdom
12930,295,25,415.8,United Kingdom
12931,352,82,42055.96,United Kingdom
12933,349,106,607.53,United Kingdom
12935,371,129,2160.7,United Kingdom
12936,356,62,1063.9,United Kingdom
12937,358,120,1504.27,United Kingdom
12938,348,9,114.14,United Kingdom
12939,309,47,11581.8,United Kingdom
12940,319,96,899.69,United Kingdom
12942,242,70,675.6,United Kingdom
12944,338,30,604.51,United Kingdom
12945,85,23,462.95,United Kingdom
12947,230,97,1603.99,United Kingdom
12948,357,116,2064.95,United Kingdom
12949,343,215,4167.22,United Kingdom
12950,371,23,1843.0,United Kingdom
12951,365,63,1064.07,United Kingdom
12952,368,79,1387.79,United Kingdom
12953,364,17,329.85,United Kingdom
12955,372,180,4757.16,United Kingdom
12956,67,19,108.07,United Kingdom
12957,364,238,4017.54,United Kingdom
12962,366,16,266.39,United Kingdom
12963,365,95,1856.63,United Kingdom
12965,284,108,769.8100000000001,United Kingdom
12966,364,10,160.18,United Kingdom
12967,15,19,1660.9,United Kingdom
12968,261,5,135.95,United Kingdom
12970,366,129,405.47,United Kingdom
12971,370,305,11189.91,United Kingdom
12974,176,8,144.8,United Kingdom
12976,162,22,738.6,United Kingdom
12977,217,9,39.239999999999995,United Kingdom
12980,216,20,7374.900000000001,United Kingdom
12981,344,20,372.21999999999997,United Kingdom
12982,131,28,390.54,United Kingdom
12984,355,4,97.5,United Kingdom
12985,373,76,1239.38,United Kingdom
12987,300,28,558.7,United Kingdom
12988,81,83,505.82,United Kingdom
12989,370,64,6924.110000000001,United Kingdom
12990,342,13,409.5,United Kingdom
12991,350,31,503.76,United Kingdom
12993,350,27,414.76,United Kingdom
12994,369,61,974.4200000000001,United Kingdom
12995,288,3,211.32,United Kingdom
12997,351,59,1226.89,United Kingdom
12999,177,28,455.88,United Kingdom
13000,267,31,534.85,United Kingdom
13001,369,337,9785.970000000001,United Kingdom
13002,55,7,120.94999999999999,United Kingdom
13003,268,6,149.05,United Kingdom
13004,362,404,5655.91,United Kingdom
13005,200,26,513.7,United Kingdom
13006,317,4,81.57,United Kingdom
13008,50,14,229.46999999999997,United Kingdom
13011,1,3,50.550000000000004,United Kingdom
13012,364,88,1646.8400000000001,United Kingdom
13013,372,219,4810.9400000000005,United Kingdom
13014,363,110,3466.2799999999997,United Kingdom
13015,320,175,3339.64,United Kingdom
13016,300,47,789.89,United Kingdom
13017,366,1,204.0,United Kingdom
13018,357,458,7277.7,United Kingdom
13021,369,131,2616.38,United Kingdom
13023,309,40,689.9,United Kingdom
13026,372,40,975.36,United Kingdom
13027,260,26,6912.0,United Kingdom
13028,351,45,661.3199999999999,United Kingdom
13029,343,10,1247.5,United Kingdom
13030,362,92,752.4399999999999,United Kingdom
13032,321,71,1010.18,United Kingdom
13033,16,11,190.55,United Kingdom
13034,319,37,642.77,United Kingdom
13035,300,27,921.88,United Kingdom
13037,235,48,881.07,United Kingdom
13038,293,28,908.46,United Kingdom
13040,365,43,676.99,United Kingdom
13043,100,13,516.42,United Kingdom
13044,82,33,560.47,United Kingdom
13045,274,18,305.28000000000003,United Kingdom
13046,343,35,629.31,United Kingdom
13047,342,172,3237.54,United Kingdom
13048,359,135,1819.41,United Kingdom
13049,309,14,656.6800000000001,United Kingdom
13050,359,403,5836.86,United Kingdom
13052,161,18,348.15000000000003,United Kingdom
13055,295,76,1214.41,United Kingdom
13058,349,8,271.40000000000003,United Kingdom
13059,124,8,183.4,United Kingdom
13060,120,15,307.53,United Kingdom
13061,301,10,248.61,United Kingdom
13062,182,11,346.98,United Kingdom
13064,361,68,1105.59,United Kingdom
13065,0,14,205.86,United Kingdom
13066,349,48,470.8,United Kingdom
13067,291,15,115.46000000000001,United Kingdom
13068,363,2,344.0,United Kingdom
13069,373,424,4431.44,United Kingdom
13070,181,9,228.8,United Kingdom
13072,107,7,177.15,United Kingdom
13075,244,22,919.61,United Kingdom
13077,372,111,728.02,United Kingdom
13078,370,358,12627.94,United Kingdom
13079,369,6,220.10000000000002,United Kingdom
13080,194,6,58.08,United Kingdom
13081,362,1028,28337.38,United Kingdom
13082,247,73,3613.63,United Kingdom
13083,369,18,303.75,United Kingdom
13085,216,22,416.08000000000004,United Kingdom
13089,371,1814,58762.08,United Kingdom
13090,365,155,8910.82,United Kingdom
13091,345,21,345.82,United Kingdom
13092,303,25,477.83,United Kingdom
13093,98,159,7832.47,United Kingdom
13094,352,24,1927.3200000000002,United Kingdom
13095,303,6,74.39999999999999,United Kingdom
13097,341,421,6003.22,United Kingdom
13098,372,572,28882.44,United Kingdom
13099,274,1,207.35999999999999,United Kingdom
13101,139,8,101.19,United Kingdom
13102,372,304,6424.09,United Kingdom
13103,334,8,243.94,United Kingdom
13104,370,20,1098.48,United Kingdom
13106,240,1,76.5,United Kingdom
13107,329,58,1531.6200000000001,United Kingdom
13108,1,10,350.06,United Kingdom
13109,314,47,786.54,United Kingdom
13110,342,145,1488.67,United Kingdom
13113,373,201,12245.960000000001,United Kingdom
13115,362,120,2294.78,United Kingdom
13116,235,30,501.14,United Kingdom
13117,352,76,984.91,United Kingdom
13118,354,79,1197.81,United Kingdom
13120,135,1,30.599999999999998,United Kingdom
13121,104,50,283.73,United Kingdom
13122,279,55,922.39,United Kingdom
13124,284,222,3756.33,United Kingdom
13126,369,140,2099.64,United Kingdom
13127,296,15,259.17,United Kingdom
13130,279,2,64.0,United Kingdom
13131,350,44,1073.3,United Kingdom
13132,112,3,77.3,United Kingdom
13133,100,7,109.8,United Kingdom
13134,288,98,1793.58,United Kingdom
13135,177,1,3096.0,United Kingdom
13136,317,127,2607.61,United Kingdom
13137,363,687,3603.29,United Kingdom
13138,351,63,962.39,United Kingdom
13139,357,170,5064.94,United Kingdom
13140,265,45,422.47,United Kingdom
13141,289,135,2388.75,United Kingdom
13142,354,23,307.09,United Kingdom
13144,41,3,110.95,United Kingdom
13145,334,6,618.52,United Kingdom
13146,347,17,228.91,United Kingdom
13147,363,4,712.8000000000001,United Kingdom
13148,344,312,3683.26,United Kingdom
13149,359,86,1676.06,United Kingdom
13151,78,74,1257.8700000000001,United Kingdom
13153,368,15,486.22,United Kingdom
13155,340,85,971.76,United Kingdom
13157,324,87,1741.22,United Kingdom
13158,279,79,1201.06,United Kingdom
13159,365,120,1429.35,United Kingdom
13160,351,4,91.8,United Kingdom
13161,60,8,112.75,United Kingdom
13162,251,79,1688.29,United Kingdom
13165,327,42,1021.48,United Kingdom
13166,90,41,417.2,United Kingdom
13167,355,65,791.33,United Kingdom
13168,337,126,1299.59,United Kingdom
13169,310,13,712.88,United Kingdom
13170,347,30,108.81,United Kingdom
13171,352,46,468.41,United Kingdom
13173,369,43,353.65,United Kingdom
13174,357,293,2742.82,United Kingdom
13176,327,67,481.49,United Kingdom
13177,309,17,282.45,United Kingdom
13178,347,265,5725.47,United Kingdom
13182,328,11,121.18,United Kingdom
13183,366,94,3957.78,United Kingdom
13184,359,179,1668.95,United Kingdom
13185,106,1,71.4,United Kingdom
13186,334,79,1575.89,United Kingdom
13187,36,37,236.02,United Kingdom
13188,362,2,114.60000000000001,United Kingdom
13189,355,29,260.68,United Kingdom
13192,278,63,911.94,United Kingdom
13193,312,25,112.08,United Kingdom
13194,238,3,60.7,United Kingdom
13196,362,110,1797.78,United Kingdom
13198,363,226,3401.2400000000002,United Kingdom
13199,370,119,9817.12,United Kingdom
13200,354,46,870.09,United Kingdom
13203,364,57,869.46,United Kingdom
13207,358,8,250.26000000000002,United Kingdom
13208,315,148,1217.65,United Kingdom
13209,343,321,5891.61,United Kingdom
13210,280,22,353.48,United Kingdom
13211,363,55,1095.42,United Kingdom
13212,354,141,786.83,United Kingdom
13213,317,90,1520.58,United Kingdom
13216,106,5,333.74,United Kingdom
13217,251,4,533.98,United Kingdom
13218,246,5,62.63999999999999,United Kingdom
13220,295,21,819.2900000000001,United Kingdom
13221,133,66,847.41,United Kingdom
13223,173,5,163.20000000000002,United Kingdom
13224,313,108,2155.95,United Kingdom
13225,370,32,6463.84,United Kingdom
13226,100,16,108.21000000000001,United Kingdom
13227,172,9,257.7,United Kingdom
13228,292,2,358.0,United Kingdom
13229,148,10,160.95,United Kingdom
13230,369,587,2755.63,United Kingdom
13232,361,202,1328.35,United Kingdom
13233,299,43,605.12,United Kingdom
13235,161,58,1031.07,United Kingdom
13236,349,36,744.85,United Kingdom
13238,356,31,700.73,United Kingdom
13239,112,22,329.56,United Kingdom
13240,277,67,663.65,United Kingdom
13242,261,13,270.40000000000003,United Kingdom
13243,170,57,585.12,United Kingdom
13244,281,27,121.74000000000001,United Kingdom
13245,323,16,430.5,United Kingdom
13246,355,136,1961.52,United Kingdom
13247,356,25,501.12,United Kingdom
13248,249,26,465.68,United Kingdom
13249,281,23,711.41,United Kingdom
13253,217,36,1030.4,United Kingdom
13255,364,13,399.51,United Kingdom
13256,359,1,0.0,United Kingdom
13258,362,36,672.83,United Kingdom
13259,312,81,283.18,United Kingdom
13260,312,8,557.62,United Kingdom
13261,105,9,944.1,United Kingdom
13262,110,11,200.29,United Kingdom
13263,372,1667,7436.93,United Kingdom
13265,320,90,2092.66,United Kingdom
13266,362,187,3834.2599999999998,United Kingdom
13267,371,211,4521.49,United Kingdom
13268,356,433,3174.75,United Kingdom
13269,372,315,5343.28,United Kingdom
13270,7,1,590.0,United Kingdom
13271,336,87,211.49,United Kingdom
13272,342,15,276.56,United Kingdom
13273,260,16,138.98,United Kingdom
13276,310,30,590.9300000000001,United Kingdom
13277,358,8,258.4,United Kingdom
13278,333,46,542.73,United Kingdom
13279,295,9,137.75,United Kingdom
13280,251,82,798.46,United Kingdom
13282,355,37,1132.14,United Kingdom
13283,314,7,93.66,United Kingdom
13284,43,13,201.19,United Kingdom
13285,350,187,2709.12,United Kingdom
13291,218,42,361.11,United Kingdom
13292,335,31,578.9399999999999,United Kingdom
13294,184,54,873.74,United Kingdom
13295,14,10,201.20000000000002,United Kingdom
13296,236,5,87.4,United Kingdom
13297,366,59,2089.85,United Kingdom
13298,372,2,360.0,United Kingdom
13299,105,5,142.5,United Kingdom
13300,204,20,371.89,United Kingdom
13301,270,81,618.09,United Kingdom
13302,218,1,63.75,United Kingdom
13304,22,21,300.42,United Kingdom
13305,369,81,2000.86,United Kingdom
13307,253,1,15.0,United Kingdom
13308,351,54,1385.51,United Kingdom
13309,366,107,1456.79,United Kingdom
13310,345,72,1132.03,United Kingdom
13311,369,26,598.57,United Kingdom
13313,351,78,1555.32,United Kingdom
13314,372,62,775.94,United Kingdom
13316,336,86,5732.93,United Kingdom
13317,307,124,2273.68,United Kingdom
13318,372,20,640.76,United Kingdom
13319,368,476,10845.550000000001,United Kingdom
13320,295,105,1532.2,United Kingdom
13321,301,11,567.36,United Kingdom
13322,356,25,199.48000000000002,United Kingdom
13323,370,21,787.85,United Kingdom
13324,337,75,7121.95,United Kingdom
13325,292,12,675.3,United Kingdom
13327,335,108,3627.77,United Kingdom
13328,57,17,1308.48,United Kingdom
13329,342,17,789.0,United Kingdom
13330,281,53,1140.93,United Kingdom
13332,359,21,350.9,United Kingdom
13334,291,265,3502.32,United Kingdom
13336,296,51,795.12,United Kingdom
13338,216,19,487.02,United Kingdom
13339,173,54,860.12,United Kingdom
13340,328,134,10736.48,United Kingdom
13341,113,42,775.85,United Kingdom
13343,196,19,353.43,United Kingdom
13344,306,116,2511.69,United Kingdom
13345,86,20,389.5,United Kingdom
13347,303,8,341.36,United Kingdom
13348,309,14,233.76,United Kingdom
13349,363,16,247.32,United Kingdom
13350,357,40,979.12,United Kingdom
13351,307,16,373.94,United Kingdom
13352,313,24,397.97999999999996,United Kingdom
13354,302,51,743.53,United Kingdom
13355,251,32,674.7,United Kingdom
13356,293,42,768.24,United Kingdom
13357,116,89,609.4,United Kingdom
13358,105,29,439.03,United Kingdom
13359,310,23,439.56,United Kingdom
13362,364,166,3090.7400000000002,United Kingdom
13363,356,60,992.5,United Kingdom
13364,302,10,134.95999999999998,United Kingdom
13365,340,128,2225.37,United Kingdom
13366,323,1,56.160000000000004,United Kingdom
13368,117,29,623.4,United Kingdom
13369,8,14,308.28000000000003,United Kingdom
13370,2,39,754.87,United Kingdom
13372,284,23,378.64,United Kingdom
13373,313,158,3312.25,United Kingdom
13375,285,37,778.65,United Kingdom
13376,274,53,1019.76,United Kingdom
13379,347,97,572.56,United Kingdom
13381,342,172,3639.31,United Kingdom
13382,93,15,222.99,United Kingdom
13384,343,152,4151.93,United Kingdom
13385,44,35,534.57,United Kingdom
13388,242,35,677.1,United Kingdom
13389,362,51,797.96,United Kingdom
13390,299,13,544.08,United Kingdom
13391,170,1,59.8,United Kingdom
13394,372,155,2520.02,United Kingdom
13395,188,21,307.72,United Kingdom
13396,344,43,1360.99,United Kingdom
13397,301,38,1544.13,United Kingdom
13398,181,26,457.34,United Kingdom
13402,246,39,621.23,United Kingdom
13403,356,3,75.0,United Kingdom
13404,372,11,252.49,United Kingdom
13405,299,27,572.451,United Kingdom
13408,372,478,28117.04,United Kingdom
